millis,state,yaw_deg,pitch_deg,roll_deg,ax_G,ay_G,az_G,pressure_kPa,altitude_ft
12638,GROUND,141.140,-55.724,-172.330,-0.901,0.121,0.484,100.200,308.500
12641,GROUND,141.320,-55.706,-172.403,-0.890,0.121,0.494,100.211,305.476
12644,GROUND,141.505,-55.693,-172.479,-0.885,0.120,0.497,100.211,305.476
12647,GROUND,141.505,-55.693,-172.479,-0.885,0.120,0.497,100.211,305.476
12650,GROUND,141.505,-55.693,-172.479,-0.885,0.120,0.497,100.211,305.476
12653,GROUND,141.505,-55.693,-172.479,-0.885,0.120,0.497,100.211,305.476
12658,GROUND,141.691,-55.690,-172.557,-0.891,0.116,0.513,100.189,311.533
12661,GROUND,141.881,-55.695,-172.638,-0.888,0.116,0.519,100.211,305.476
12664,GROUND,142.072,-55.707,-172.726,-0.887,0.098,0.527,100.207,306.577
12668,GROUND,142.257,-55.724,-172.816,-0.872,0.097,0.547,100.211,305.476
12671,GROUND,142.430,-55.741,-172.898,-0.857,0.101,0.558,100.211,305.476
12675,GROUND,142.430,-55.741,-172.898,-0.857,0.101,0.558,100.211,305.476
12677,GROUND,142.430,-55.741,-172.898,-0.857,0.101,0.558,100.211,305.476
12680,GROUND,142.430,-55.741,-172.898,-0.857,0.101,0.558,100.211,305.476
12684,GROUND,142.593,-55.755,-172.969,-0.843,0.095,0.564,100.211,305.476
12687,GROUND,142.744,-55.764,-173.030,-0.834,0.087,0.572,100.211,305.476
12691,GROUND,142.881,-55.768,-173.080,-0.825,0.077,0.569,100.211,305.476
12694,GROUND,143.007,-55.766,-173.118,-0.820,0.068,0.571,100.196,309.600
12697,GROUND,143.123,-55.763,-173.143,-0.815,0.058,0.569,100.207,306.577
12700,GROUND,143.123,-55.763,-173.143,-0.815,0.058,0.569,100.207,306.577
12703,GROUND,143.123,-55.763,-173.143,-0.815,0.058,0.569,100.207,306.577
12705,GROUND,143.123,-55.763,-173.143,-0.815,0.058,0.569,100.207,306.577
12711,GROUND,143.226,-55.757,-173.155,-0.810,0.051,0.563,100.200,308.500
12714,GROUND,143.318,-55.755,-173.156,-0.816,0.036,0.563,100.211,305.476
12717,GROUND,143.397,-55.759,-173.152,-0.820,0.016,0.568,100.200,308.500
12720,GROUND,143.457,-55.772,-173.137,-0.820,0.010,0.570,100.200,308.500
12723,GROUND,143.497,-55.792,-173.109,-0.815,0.008,0.576,100.211,305.476
12726,GROUND,143.497,-55.792,-173.109,-0.815,0.008,0.576,100.211,305.476
12739,GROUND,143.497,-55.792,-173.109,-0.815,0.008,0.576,100.211,305.476
12743,GROUND,143.513,-55.888,-172.966,-0.793,0.005,0.592,100.196,309.600
12746,GROUND,143.490,-55.923,-172.896,-0.788,0.008,0.594,100.211,305.476
12749,GROUND,143.452,-55.956,-172.813,-0.786,0.008,0.589,100.211,305.476
12752,GROUND,143.452,-55.956,-172.813,-0.786,0.008,0.589,100.211,305.476
12754,GROUND,143.452,-55.956,-172.813,-0.786,0.008,0.589,100.211,305.476
12757,GROUND,143.452,-55.956,-172.813,-0.786,0.008,0.589,100.211,305.476
12759,GROUND,143.452,-55.956,-172.813,-0.786,0.008,0.589,100.211,305.476
12763,GROUND,143.404,-55.984,-172.719,-0.783,0.003,0.584,100.211,305.476
12766,GROUND,143.346,-56.008,-172.616,-0.777,-0.001,0.578,100.211,305.476
12770,GROUND,143.280,-56.027,-172.508,-0.778,-0.001,0.564,100.222,302.444
12772,GROUND,143.207,-56.044,-172.398,-0.782,-0.002,0.560,100.211,305.476
12775,GROUND,143.134,-56.059,-172.292,-0.784,0.006,0.548,100.211,305.476
12778,GROUND,143.134,-56.059,-172.292,-0.784,0.006,0.548,100.211,305.476
12781,GROUND,143.134,-56.059,-172.292,-0.784,0.006,0.548,100.211,305.476
12783,GROUND,143.134,-56.059,-172.292,-0.784,0.006,0.548,100.211,305.476
12786,GROUND,143.134,-56.059,-172.292,-0.784,0.006,0.548,100.211,305.476
12789,GROUND,143.063,-56.074,-172.188,-0.787,0.010,0.541,100.211,305.476
12792,GROUND,142.989,-56.086,-172.083,-0.791,0.019,0.536,100.200,308.500
12795,GROUND,142.905,-56.099,-171.980,-0.796,0.021,0.537,100.200,308.500
12799,GROUND,142.811,-56.110,-171.874,-0.789,0.031,0.530,100.211,305.476
12802,GROUND,142.707,-56.120,-171.760,-0.789,0.038,0.529,100.211,305.476
12804,GROUND,142.707,-56.120,-171.760,-0.789,0.038,0.529,100.211,305.476
12807,GROUND,142.707,-56.120,-171.760,-0.789,0.038,0.529,100.211,305.476
12810,GROUND,142.707,-56.120,-171.760,-0.789,0.038,0.529,100.211,305.476
12812,GROUND,142.707,-56.120,-171.760,-0.789,0.038,0.529,100.211,305.476
12815,GROUND,142.585,-56.126,-171.635,-0.787,0.047,0.523,100.196,309.600
12819,GROUND,142.442,-56.127,-171.491,-0.789,0.053,0.524,100.211,305.476
12822,GROUND,142.282,-56.133,-171.337,-0.790,0.049,0.526,100.200,308.500
12825,GROUND,142.108,-56.135,-171.164,-0.779,0.073,0.510,100.200,308.500
12828,GROUND,141.923,-56.134,-170.976,-0.795,0.068,0.495,100.211,305.476
12831,GROUND,141.923,-56.134,-170.976,-0.795,0.068,0.495,100.211,305.476
12833,GROUND,141.923,-56.134,-170.976,-0.795,0.068,0.495,100.211,305.476
12836,GROUND,141.923,-56.134,-170.976,-0.795,0.068,0.495,100.211,305.476
12838,GROUND,141.923,-56.134,-170.976,-0.795,0.068,0.495,100.211,305.476
12842,GROUND,141.732,-56.130,-170.780,-0.813,0.073,0.492,100.200,308.500
12845,GROUND,141.537,-56.127,-170.578,-0.832,0.081,0.484,100.222,302.444
12848,GROUND,141.346,-56.125,-170.377,-0.852,0.087,0.471,100.216,304.099
12852,GROUND,141.166,-56.127,-170.182,-0.873,0.089,0.465,100.211,305.476
12854,GROUND,141.001,-56.134,-170.000,-0.884,0.092,0.462,100.200,308.500
12857,GROUND,141.001,-56.134,-170.000,-0.884,0.092,0.462,100.200,308.500
12859,GROUND,141.001,-56.134,-170.000,-0.884,0.092,0.462,100.200,308.500
12862,GROUND,141.001,-56.134,-170.000,-0.884,0.092,0.462,100.200,308.500
12868,GROUND,140.857,-56.151,-169.838,-0.913,0.093,0.466,100.216,304.099
12871,GROUND,140.731,-56.176,-169.698,-0.922,0.105,0.469,100.211,305.476
12874,GROUND,140.627,-56.207,-169.578,-0.926,0.113,0.478,100.211,305.476
12877,GROUND,140.546,-56.242,-169.480,-0.923,0.123,0.484,100.211,305.476
12880,GROUND,140.484,-56.280,-169.400,-0.919,0.133,0.494,100.211,305.476
12883,GROUND,140.484,-56.280,-169.400,-0.919,0.133,0.494,100.211,305.476
12886,GROUND,140.484,-56.280,-169.400,-0.919,0.133,0.494,100.211,305.476
12888,GROUND,140.484,-56.280,-169.400,-0.919,0.133,0.494,100.211,305.476
12894,GROUND,140.439,-56.316,-169.338,-0.910,0.143,0.501,100.211,305.476
12897,GROUND,140.409,-56.349,-169.289,-0.904,0.151,0.502,100.211,305.476
12900,GROUND,140.396,-56.376,-169.256,-0.886,0.146,0.500,100.211,305.476
12903,GROUND,140.397,-56.396,-169.234,-0.886,0.162,0.507,100.211,305.476
12907,GROUND,140.408,-56.409,-169.215,-0.880,0.177,0.507,100.189,311.533
12909,GROUND,140.408,-56.409,-169.215,-0.880,0.177,0.507,100.189,311.533
12912,GROUND,140.408,-56.409,-169.215,-0.880,0.177,0.507,100.189,311.533
12915,GROUND,140.408,-56.409,-169.215,-0.880,0.177,0.507,100.189,311.533
12920,GROUND,140.425,-56.420,-169.198,-0.874,0.164,0.506,100.211,305.476
12923,GROUND,140.451,-56.428,-169.190,-0.870,0.143,0.501,100.211,305.476
12926,GROUND,140.480,-56.437,-169.192,-0.869,0.130,0.504,100.211,305.476
12930,GROUND,140.503,-56.447,-169.199,-0.861,0.127,0.508,100.200,308.500
12933,GROUND,140.521,-56.461,-169.209,-0.845,0.116,0.515,100.200,308.500
12935,GROUND,140.521,-56.461,-169.209,-0.845,0.116,0.515,100.200,308.500
12938,GROUND,140.521,-56.461,-169.209,-0.845,0.116,0.515,100.200,308.500
12942,GROUND,140.521,-56.461,-169.209,-0.845,0.116,0.515,100.200,308.500
12946,GROUND,140.538,-56.475,-169.224,-0.833,0.102,0.519,100.200,308.500
12950,GROUND,140.550,-56.488,-169.242,-0.821,0.102,0.527,100.200,308.500
